date,close
2019-07-10,29200
2019-07-11,29200
2019-07-12,28500
2019-07-15,28000
2019-07-16,28600
2019-07-17,27400
2019-07-18,27500
2019-07-19,27700
2019-07-22,27500
2019-07-23,28000
2019-07-24,28000
2019-07-25,27800
2019-07-26,27450
2019-07-29,27400
2019-07-30,27300
2019-07-31,27150
2019-08-01,27200
2019-08-02,27500
2019-08-05,28100
2019-08-06,28500
2019-08-07,27500
2019-08-08,27200
2019-08-09,27100
2019-08-12,27400
2019-08-13,27000
2019-08-14,26700
2019-08-15,26400
2019-08-16,26200
2019-08-19,25700
2019-08-20,25600
2019-08-21,25400
2019-08-22,25950
2019-08-23,26600
2019-08-26,26800
2019-08-27,27000
2019-08-28,27500
2019-08-29,28000
2019-08-30,28000
2019-09-03,27100
2019-09-04,26300
2019-09-05,27100
2019-09-06,27100
2019-09-09,27550
2019-09-10,28000
2019-09-11,27300
2019-09-12,26700
2019-09-13,26550
2019-09-16,27000
2019-09-17,26700
2019-09-18,26900
2019-09-19,26800
2019-09-20,26800
2019-09-23,27000
2019-09-24,27000
2019-09-25,26700
2019-09-26,26600
2019-09-27,26400
2019-09-30,26400
2019-10-01,26200
2019-10-02,26200
2019-10-03,25950
2019-10-04,26000
2019-10-07,26000
2019-10-08,25850
2019-10-09,25650
2019-10-10,25650
2019-10-11,25750
2019-10-14,25750
2019-10-15,25650
2019-10-16,25550
2019-10-17,25500
2019-10-18,25450
2019-10-21,25600
2019-10-22,25700
2019-10-23,25500
2019-10-24,25300
2019-10-25,25600
2019-10-28,25650
2019-10-29,25600
2019-10-30,25300
2019-10-31,25100
2019-11-01,25200
2019-11-04,25100
2019-11-05,25000
2019-11-06,25000
2019-11-07,25000
2019-11-08,25000
2019-11-11,25400
2019-11-12,25150
2019-11-13,24950
2019-11-14,25000
2019-11-15,24900
2019-11-18,25200
2019-11-19,25000
2019-11-20,25400
2019-11-21,25000
2019-11-22,24950
2019-11-25,24900
2019-11-26,25100
2019-11-27,25000
2019-11-28,24850
2019-11-29,24300
2019-12-02,24500
2019-12-03,24500
2019-12-04,24200
2019-12-05,24500
2019-12-06,25000
2019-12-09,24500
2019-12-10,24000
2019-12-11,24100
2019-12-12,24200
2019-12-13,24100
2019-12-16,24000
2019-12-17,24000
2019-12-18,24000
2019-12-19,23700
2019-12-20,23600
2019-12-23,23550
2019-12-24,23600
2019-12-25,23050
2019-12-26,21450
2019-12-27,19950
2019-12-30,18600
2019-12-31,17300
2020-01-02,16100
2020-01-03,15150
2020-01-06,14100
2020-01-07,15050
2020-01-08,14000
2020-01-09,13050
2020-01-10,12150
2020-01-13,11300
2020-01-14,12050
2020-01-15,11250
2020-01-16,10500
2020-01-17,10000
2020-01-20,10150
2020-01-21,10150
2020-01-22,10300
2020-01-30,10000
2020-01-31,9330
2020-02-03,8680
2020-02-04,8080
2020-02-05,7520
2020-02-06,7050
2020-02-07,7540
2020-02-10,8060
2020-02-11,8620
2020-02-12,9220
2020-02-13,9860
2020-02-14,9200
2020-02-17,8560
2020-02-18,7970
2020-02-19,8520
2020-02-20,9100
2020-02-21,8500
2020-02-24,7910
2020-02-25,7800
2020-02-26,7500
2020-02-27,7780
2020-02-28,7260
2020-03-02,7340
2020-03-03,7440
2020-03-04,7960
2020-03-05,7450
2020-03-06,7350
2020-03-09,6840
2020-03-10,6480
2020-03-11,6050
2020-03-12,5630
2020-03-13,5300
2020-03-16,4950
2020-03-17,4930
2020-03-18,5270
2020-03-19,5630
2020-03-20,5240
2020-03-23,4880
2020-03-24,4540
2020-03-25,4290
2020-03-26,3990
2020-03-27,3760
2020-03-30,3500
2020-03-31,3260
2020-04-01,3480
2020-04-03,3720
2020-04-06,3980
2020-04-07,3740
2020-04-08,4000
2020-04-09,4280
2020-04-10,4100
2020-04-13,4080
2020-04-14,3840
2020-04-15,4000
2020-04-16,4000
2020-04-17,3920
2020-04-20,3860
2020-04-21,3590
2020-04-22,3570
2020-04-23,3640
2020-04-24,3710
2020-04-27,3880
2020-04-28,3750
2020-04-29,3760
2020-05-04,3520
2020-05-05,3590
2020-05-06,3610
2020-05-07,3570
2020-05-08,3540
2020-05-11,3490
2020-05-12,3450
2020-05-13,3370
2020-05-14,3450
2020-05-15,3430
2020-05-18,3410
2020-05-19,3390
2020-05-20,3620
2020-05-21,3620
2020-05-22,3490
2020-05-25,3440
2020-05-26,3410
2020-05-27,3400
2020-05-28,3410
2020-05-29,3500
2020-06-01,3400
2020-06-02,3200
2020-06-03,3020
2020-06-04,3230
2020-06-05,3450
2020-06-08,3690
2020-06-09,3690
2020-06-10,3470
2020-06-11,3230
2020-06-12,3010
2020-06-15,2980
2020-06-16,3100
2020-06-17,3150
2020-06-18,3080
2020-06-19,3090
2020-06-22,3090
2020-06-23,3170
2020-06-24,3150
2020-06-25,3120
2020-06-26,3070
2020-06-29,2990
2020-06-30,2970
2020-07-01,3040
2020-07-02,3000
2020-07-03,3000
2020-07-06,3040
2020-07-07,3000
2020-07-08,3000
2020-07-09,3050
2020-07-10,3010
2020-07-13,3010
2020-07-14,3010
2020-07-15,3000
2020-07-16,2990
2020-07-17,2970
2020-07-20,2900
2020-07-21,2880
2020-07-22,2760
2020-07-23,2600
2020-07-24,2420
2020-07-27,2260
2020-07-28,2380
2020-07-29,2220
2020-07-30,2200
2020-07-31,2090
2020-08-03,2140
2020-08-04,2220
2020-08-05,2220
2020-08-06,2180
2020-08-07,2290
2020-08-10,2370
2020-08-11,2350
2020-08-12,2290
2020-08-13,2320
2020-08-14,2270
2020-08-17,2220
2020-08-18,2240
2020-08-19,2270
2020-08-20,2220
2020-08-21,2240
2020-08-24,2250
2020-08-25,2250
2020-08-26,2240
2020-08-27,2250
2020-08-28,2240
2020-08-31,2220
2020-09-01,2250
2020-09-03,2240
2020-09-04,2220
2020-09-07,2200
2020-09-08,2190
2020-09-09,2170
2020-09-10,2170
2020-09-11,2180
2020-09-14,2190
2020-09-15,2200
2020-09-16,2190
2020-09-17,2170
2020-09-18,2160
2020-09-21,2150
2020-09-22,2110
2020-09-23,2130
2020-09-24,2120
2020-09-25,2140
2020-09-28,2240
2020-09-29,2190
2020-09-30,2170
2020-10-01,2160
2020-10-02,2160
2020-10-05,2200
2020-10-06,2330
2020-10-07,2420
2020-10-08,2400
2020-10-09,2290
2020-10-12,2320
2020-10-13,2310
2020-10-14,2270
2020-10-15,2260
2020-10-16,2210
2020-10-19,2230
2020-10-20,2300
2020-10-21,2260
2020-10-22,2250
2020-10-23,2310
2020-10-26,2260
2020-10-27,2230
2020-10-28,2180
2020-10-29,2220
